번호,서명,저자,발행자,발행년,청구기호,자료실
1,해럴드와 마법 크레용 [비디오녹화자료],카를로스 살다냐 감독,소니 픽쳐스 홈엔터테인먼트 [공급],2025,DVD 688.2-2246,[해운대인문학]디지털자료실
2,나처럼 예쁜 여자 [비디오녹화자료],프랑수아 트뤼포 감독,Art Film [수입·제조],2024,DVD 688.2-2247,[해운대인문학]디지털자료실
3,조커 [비디오녹화자료] : 폴리 아 되,토드 필립스 감독,해리슨 앤 컴퍼니 [제조·판매],[2025],DVD 688.2-2248,[해운대인문학]디지털자료실
4,"신비아파트 고스트볼 ZERO [비디오녹화자료]. 2, 싹트는 울음소리, 뿌리 괴수의 진실",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-2,[해운대인문학]디지털자료실
5,마당을 나온 암탉 [비디오녹화자료],오성윤 감독,미디어포유 [제작·판매],2025,DVD 688.6-335=2,[해운대인문학]디지털자료실
6,더 파일럿 [비디오녹화자료] : 드론 어택,폴 듀세 감독,미디어포유 [제작·판매],2025,DVD 688.2-2249,[해운대인문학]디지털자료실
7,새터데이 나이트 [비디오녹화자료],제이슨 라이트먼 감독,소니 픽쳐스 홈엔터테인먼트 [공급],2025,DVD 688.2-2250,[해운대인문학]디지털자료실
8,구룡성채 [비디오녹화자료] : 무법지대,정바오루이 감독,플레인아카이브 [DVD 제작·판매],[2025],DVD 688.2-2251,[해운대인문학]디지털자료실
9,"신비아파트 고스트볼 ZERO [비디오녹화자료]. 3, 수상한 공사장의 비밀",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-3,[해운대인문학]디지털자료실
10,베리 미 트와이스 [비디오녹화자료],스티븐 라모트 감독,미디어포유 [제작],2025,DVD 688.2-2252,[해운대인문학]디지털자료실
11,블랙 쉘터 [비디오녹화자료],안소니 나르돌릴로 감독,미디어포유 [제작],2025,DVD 688.2-2253,[해운대인문학]디지털자료실
12,드래곤 기사단 [비디오녹화자료],"앙헬 이즈퀴에르도,리카르도 라몬 [공]감독",에이프릴 엔터테인먼트 [제작·판매],2025,DVD 688.6-1140,[해운대인문학]디지털자료실
13,앤젤스 셰어 [비디오녹화자료] : 천사를 위한 위스키,켄 로치 감독,유케이 미디어 [제작·판매],2025,DVD 688.2-621=2,[해운대인문학]디지털자료실
14,"신비아파트 고스트볼 ZERO 두 번째 이야기 [비디오녹화자료]. 4, 귀신님 오셨습니까? 금지된 주문, 분신사바",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-4,[해운대인문학]디지털자료실
15,미션 임파서블 [비디오녹화자료] : 데드 레코닝 Part one,크리스토퍼 맥쿼리 감독,해리슨 앤 컴퍼니 [제조·판매],[2023],DVD 688.2-2289-[7]=2,[해운대인문학]디지털자료실
16,어프렌티스 [비디오녹화자료] : 도널드 트럼프,알리 압바시 감독,뮤라인 [제작],2025,DVD 688.2-2254,[해운대인문학]디지털자료실
17,연소일기 [비디오녹화자료],탁역겸 감독,뮤라인 [제작],2025,DVD 688.2-2255,[해운대인문학]디지털자료실
18,서울의 봄 [비디오녹화자료],김성수 감독,인조인간 [제작·판매],[2025],DVD 688.2-2256,[해운대인문학]디지털자료실
19,우연과 상상 [비디오녹화자료],하마구치 류스케 감독,미디어포유 [제작],2025,DVD 688.2-2032=2,[해운대인문학]디지털자료실
20,빅토리 [비디오녹화자료],박범수 감독,플레인아카이브 [DVD제작·판매],[2025],DVD 688.2-2257,[해운대인문학]디지털자료실
21,오다기리 죠의 도쿄타워 [비디오녹화자료],마츠오카 조지 감독,미디어포유 [제작·판매],2025,DVD 688.2-2258,[해운대인문학]디지털자료실
22,1번 국도 [비디오녹화자료],강경태 감독,미디어포유 [제작·판매],2025,DVD 688.2-2259,[해운대인문학]디지털자료실
23,아침바다 갈매기는 [비디오녹화자료],박이웅 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2260,[해운대인문학]디지털자료실
24,언니 유정 [비디오녹화자료],정해일 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2261,[해운대인문학]디지털자료실
25,파문 [비디오녹화자료],오기가미 나오코 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2262,[해운대인문학]디지털자료실
26,"신비아파트 고스트볼 ZERO 두 번째 이야기 [비디오녹화자료]. 5, 위기의 가족여행, 오싹한 귀신 캠핑장",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-5,[해운대인문학]디지털자료실
27,행복의 나라 [비디오디스크],추창민 감독,노바미디어 [제작],2025;,DVD 688.2-2263,[해운대인문학]디지털자료실
28,마녀들의 카니발 [비디오녹화자료],박지선 감독,미디어허브 [DVD제작],2025,DVD 688.3-118,[해운대인문학]디지털자료실
29,제로 웨이스트 [비디오녹화자료],김동현 감독,미디어허브 [DVD제작],2025,DVD 688.3-119,[해운대인문학]디지털자료실
30,스펜서 [비디오녹화자료] : 새로운 다이애나 왕세자비 이야기,파블로 라라인 감독,미디어포유 [제작],2025,DVD 688.2-2264,[해운대인문학]디지털자료실
31,파티마의 기적 [비디오녹화자료] : 파티마 성모 발현 103주년 기념 작품,마코 폰테코보 감독,미디어포유 [제작],2025,DVD 688.2-2265,[해운대인문학]디지털자료실
32,사랑에 빠진것처럼 [비디오녹화자료],압바스 키아로스타미 감독,미디어포유 [제작·판매],2025,DVD 688.2-2266,[해운대인문학]디지털자료실
33,하치 이야기 [비디오녹화자료],코야마 세이지로 감독,에이프릴 엔터테인먼트 [제작·판매],2025,DVD 688.2-2267,[해운대인문학]디지털자료실
34,우리가 불속에서 잃어버린 것들 [비디오녹화자료],수사네 비르 감독,유케이 미디어 [제작·판매],2025,DVD 688.2-2268,[해운대인문학]디지털자료실
35,원더랜드 [비디오녹화자료],김태용 감독,노바미디어 [제작·판매],2025,DVD 688.2-2269,[해운대인문학]디지털자료실
36,1승 [비디오녹화자료],신연식 감독,키다리스튜디오,2025,DVD 688.2-2270,[해운대인문학]디지털자료실
37,하와이 연가 [비디오녹화자료],이진영 감독,아이브엔터테인먼트 [제작],2025,DVD 688.3-120,[해운대인문학]디지털자료실
38,마이 미씽 발렌타인 [비디오녹화자료] : 첫사랑 시차 로맨스,진옥훈 감독,미디어포유 [제작],2025,DVD 688.2-2271,[해운대인문학]디지털자료실
39,"신비아파트 고스트볼 ZERO 두 번째 이야기 [비디오녹화자료]. 7, 거짓말의 저주, 피노키오의 진실",박홍근 총감독,뮤라인 [제작·판매],2025,DVD 688.6-1141-7,[해운대인문학]디지털자료실
40,마인크래프트 무비 [비디오녹화자료],자레드 헤스 감독,해리슨 앤 컴퍼니 [제조·판매],[2025],DVD 688.2-2272,[해운대인문학]디지털자료실
41,7월의 크리스마스 [비디오녹화자료],프레스톤 스터지스 감독,아트시네마,2024,DVD 688.2-2273,[해운대인문학]디지털자료실
42,이십일세기 소녀 [비디오녹화자료] : 21세기 소녀에게 바치는 도전적 단편집,야마토 유키 [등]감독,미디어포유 [제작·판매],2025,DVD 688.2-2274,[해운대인문학]디지털자료실
43,오늘부터 댄싱퀸 [비디오녹화자료],오로라 고시 감독,미디어포유 [제작·판매],2025,DVD 688.2-2275,[해운대인문학]디지털자료실
44,티처스 라운지 [비디오녹화자료],일커 차탁 감독,미디어포유 [제작·판매],2025,DVD 688.2-2276,[해운대인문학]디지털자료실
45,파라다이스 이즈 버닝 [비디오녹화자료],미카 구스타프손 감독,미디어포유 [제작·판매],2025,DVD 688.2-2277,[해운대인문학]디지털자료실
46,글롬달의 신부 [비디오녹화자료],칼 테오도르 드레이어 감독,스타비젼 [제작],2025,DVD 688.2-2278,[해운대인문학]디지털자료실
47,대지진 [비디오녹화자료],펑 샤오강 감독,미디어포유 [제작·판매],2025,DVD 688.2-2279,[해운대인문학]디지털자료실
48,스윙 걸즈 [비디오녹화자료],야구치 시노부 감독,티미디어 [제작],2025,DVD 688.2-2280,[해운대인문학]디지털자료실
49,약속의 땅 [비디오녹화자료],니콜라이 아르셀 감독,키다리스튜디오,2025,DVD 688.2-2281,[해운대인문학]디지털자료실
50,잔 뒤 바리 [비디오녹화자료],마이웬 감독,키다리스튜디오,2025;,DVD 688.2-2282,[해운대인문학]디지털자료실
51,여덟 개의 산 [비디오녹화자료],"펠릭스 반 그로닝겐,샤를로트 반더미르히 [공]감독",아이브엔터테인먼트 [제작],2025,DVD 688.2-2283,[해운대인문학]디지털자료실
52,레슬리에게 [비디오녹화자료],마이클 모리스 감독,아이브엔터테인먼트 [제작],2025,DVD 688.2-2284,[해운대인문학]디지털자료실
53,그런 일은 일어나지 않았지 [비디오녹화자료],김충길 감독,미디어포유 [제작·판매],2025,DVD 688.2-2285,[해운대인문학]디지털자료실
54,인 더 섀도우 오브 우먼 [비디오녹화자료],필립 가렐 감독,씨네온 미디어 [제작],2025,DVD 688.2-2286,[해운대인문학]디지털자료실
55,기타맨 [비디오녹화자료],"김종면,이선정 [공]감독",미디어포유 [제작·판매],2025,DVD 688.2-2287,[해운대인문학]디지털자료실
56,소방관 [비디오녹화자료],곽경택 감독,노바미디어 [제작·판매],2025,DVD 688.2-2288,[해운대인문학]디지털자료실
57,생활 독서,유광수 지음,북플랫,2025,818-3598,[해운대인문학]종합자료실
58,해커톤,노아론 지음,로드북,2025,005.1-58,[해운대인문학]종합자료실
59,데이터 삽질 끝에 UX가 보였다,이미진 지음,한빛미디어,2025,004.78-13,[해운대인문학]종합자료실
60,보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책,박경수 지음,한빛비즈,2025,004.73-128,[해운대인문학]종합자료실
61,UX 라이팅 바이블,글라디스 디안도키 지음 ; 이나래 옮김,유엑스리뷰,2025,004.78-14,[해운대인문학]종합자료실
62,시간을 아끼고 지식을 압축하는 요약 독서법,이은대 지음,북랩,2025,029.4-194,[해운대인문학]종합자료실
63,경험에서 배운다! 실전 데이터 분석 35,다카하시 이치로 외 지음 ; 신정원 옮김,책만,2025,005.76-31,[해운대인문학]종합자료실
64,"코드 너머, 회사보다 오래 남을 개발자",김상기 외 지음,한빛미디어,2025,005.104-4,[해운대인문학]종합자료실
65,26개 프로젝트로 끝내는 콘텐츠 디자인 with 챗GPT,홍순성 지음,한빛미디어,2025,004.73-129,[해운대인문학]종합자료실
66,숏폼 마케팅 with 캡컷,김혜림 지음,생능북스,2025,325.555-185,[해운대인문학]종합자료실
67,인프라 엔지니어의 교과서,사노 유타카 지음 ; 김성재 옮김,길벗,2025,004.5-4,[해운대인문학]종합자료실
68,회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자,송선영 지음",한빛미디어,2025,005.53-29,[해운대인문학]종합자료실
69,가장 쉬운 독학 캔바 첫걸음,원정민 외 지음,동양북스,2025,005.565-38,[해운대인문학]종합자료실
70,셀프 케어,백명 지음,포르체,2025,189.1-340,[해운대인문학]종합자료실
71,우세한 책들,장윤미 지음,사람인,2023,330.4-90,[해운대인문학]종합자료실
72,왜의 쓸모,찰스 틸리 지음 ; 최지원 옮김,유유,2025,331.1-87,[해운대인문학]종합자료실
73,"기후위기, 정말 인류가 만든 비극일까?",마아랑 지음,글담출판,2025,539.9-168,[해운대인문학]종합자료실
74,아무것도 하기 싫은 당신에게,나명진 지음,피톤치드,2025,189.1-341,[해운대인문학]종합자료실
75,적당히 잊으며 살아간다,후지이 히데코 지음 ; 이미주 옮김,쌤앤파커스,2025,199.1-828,[해운대인문학]종합자료실
76,우리는 다른 미래를 상상할 수 있을까,"노엄 촘스키 ,C. J. 폴리크로니우 지음 ; 최유경 옮김",알토북스,2025,334-88,[해운대인문학]종합자료실
77,우리는 이야기로 이루어져 있다,로냐 폰 부름프자이벨 지음 ; 유영미 옮김,지베르니,2025,334-89,[해운대인문학]종합자료실
78,내가 하는 일은 정말 의미가 있을까,라르스 스벤젠 지음 ; 안기순 옮김,마인드빌딩,2025,321.5-87,[해운대인문학]종합자료실
79,"온라인 청년 극우의 성차별, 인종주의, 여성혐오의 정신분석",야콥 요한센 지음 ; 김정은 옮김,학지사,2025,185.5-75,[해운대인문학]종합자료실
80,신삼국지,tvNstory <신삼국지> 제작팀 지음,프런트페이지,2025,823.5-28,[해운대인문학]종합자료실
81,이렇게 살아도 괜찮다,"쇼펜하우어 원저 ; 민유하,제이한 지음",리프레시,2025,165.47-23,[해운대인문학]종합자료실
82,그 남자의 속물근성에 대하여,임찬묵 지음,디페랑스,2025,001.3-471,[해운대인문학]종합자료실
83,지혜를 구하자 문제를 주셨습니다,시라토리 하루히코 편역 ; 이지현 옮김,윌마,2025,233-45,[해운대인문학]종합자료실
84,시선 너머의 지식,윤수용 지음,북플레저,2025,001.3-472,[해운대인문학]종합자료실
85,꼭지가 확 돌아버리는 데는 다 이유가 있다,로이 프랭클린 리처드슨 지음 ; 유지훈 옮김,투나미스,2025,181.71-120,[해운대인문학]종합자료실
86,지금부터 스트레스 재설정을 시작합니다,제니퍼 테이츠 지음 ; 성세희 옮김,시그마북스,2025,182.35-11,[해운대인문학]종합자료실
87,당신에게 끝까지 다정하기로 했다,폴커 키츠 지음 ; 윤진희 옮김,김영사,2025,858-41,[해운대인문학]종합자료실
88,사람의 생각법,정철 지음 ; 김파카 그림,블랙피쉬,2025,818-3599,[해운대인문학]종합자료실
89,"혼자가 편하다면, 그게 정답입니다",코스메틱 다나카 지음 ; 황국영 옮김,호밀밭,2025,199.1-664-개정판,[해운대인문학]종합자료실
90,나의 살던 강남은,강대호 지음,산지니,2025,911.6-20,[해운대인문학]종합자료실
91,'나 이야기',최인수 외 지음,호밀밭,2024,657.3-62,[해운대인문학]종합자료실
92,열심히 살아도 불안한 사람들,랄리타 수글라니 지음 ; 박선령 번역,알에이치코리아,2025,181.71-121,[해운대인문학]종합자료실
93,독을 삼키고 잘 죽되 오래 사는 기술,구슬아 지음,연두,2025,001.3-473,[해운대인문학]종합자료실
94,인생은 개처럼 사는 편이 좋다,크라테스 외 지음 ; 서미석 옮김,유유,2025,160-81,[해운대인문학]종합자료실
95,엄마는 아직도 내가 백숙을 좋아하는 줄 안다,곽소현 지음,드레북스,2025,189.24-51,[해운대인문학]종합자료실
96,나 자신 따위는 없다,신메이P 지음 ; 김은진 번역,나나문고,2025,150-42,[해운대인문학]종합자료실
97,실재론 되찾기,"휴버트 드라이퍼스 ,찰스 테일러 지음 ; 이윤일 옮김",b,2025,136.1-1,[해운대인문학]종합자료실
98,삶은 덜어낼수록 더 단단해진다,이길환 지음,필름,2025,152.222-14,[해운대인문학]종합자료실
99,"경계선 : 건강한 거리가, 나와 너를 깊이 연결한다","앤 E. 캐서린 지음 ; 정화숙 ,김미자 옮김",하나의학사,2025,189.2-309,[해운대인문학]종합자료실
100,있다고 다 보여주지 말고 안다고 다 말하지 마라,김종원 지음,마인드셀프,2025,108-13-[4],[해운대인문학]종합자료실
101,나는 홀가분하게 살고 싶다,이영길 지음,다산초당,2025,189.1-342,[해운대인문학]종합자료실
102,당연한 것들을 의심하는 100가지 철학,오가와 히토시 지음 ; 곽현아 옮김,이든서재,2025,104-373,[해운대인문학]종합자료실
103,조국의 공부,"조국,정여울 지음",김영사,2025,340.4-145,[해운대인문학]종합자료실
104,데카르트의 아기,폴 블룸 지음 ; 김수진 옮김,21세기북스,2025,182.4-20,[해운대인문학]종합자료실
105,시민권의 탄생과 변화,조호연 지음,파이돈,2025,342.15-4,[해운대인문학]종합자료실
106,우리 역사문화사전,민병덕 지음,노마드,2025,911-332,[해운대인문학]종합자료실
107,나폴리 1925,마르틴 미텔마이어 지음 ; 최용주 옮김,사월의책,2025,165-25,[해운대인문학]종합자료실
108,"한 톨의 생각, 겨자씨처럼",김기현 지음,아드벤트,2025,234.2-19,[해운대인문학]종합자료실
109,소명과 용기,고든 스미스 지음 ; 조계광 옮김,생명의말씀사,2025,234.8-216,[해운대인문학]종합자료실
110,한국인이 가장 좋아하는 절집 말씀,목경찬 지음,불광출판사,2025,220.4-110,[해운대인문학]종합자료실
111,"리추얼, 하루의 리듬",안셀름 그륀 지음 ; 황미하 옮김,가톨릭출판사,2025,234.8-217,[해운대인문학]종합자료실
112,흔들릴 땐 마음수업,법상 지음 ; 고통달 만화,모과나무,2025,224.3-58,[해운대인문학]종합자료실
113,내 마음속 차 향기여! 해와 달을 품고 있네,이목 지음 ; 원학 번역 해설,불광출판사,2025,224.3-59,[해운대인문학]종합자료실
114,일상을 새롭게 바꾸려면,안셀름 그륀 지음 ; 루돌프 발터 엮음 ; 황미하 옮김,성서와함께,2025,238.248-11,[해운대인문학]종합자료실
115,부산 경남지방 기독교 연구,이상규 지음,한국기독교역사연구소,2025,236.911-10,[해운대인문학]종합자료실
116,"레슬리 뉴비긴, 세상 속 교회의 길을 묻다",레슬리 뉴비긴 지음 ; 신국원 옮김,한국기독학생회출판부,2025,236-12,[해운대인문학]종합자료실
117,찰스 디킨스의 우리 주 예수의 생애,찰스 디킨스 지음 ; 이한나 일러스트,두란노,2025,232.8-8,[해운대인문학]종합자료실
118,우리가 기다린 건 바로 우리다,박권일 지음,사계절,2025,330.911-69,[해운대인문학]종합자료실
119,공부가 되는 뉴스 독해,뉴스쿨 지음,길벗스쿨,2025,031-34,[해운대인문학]종합자료실
120,판결 너머 자유,김영란 지음,창비,2024,360.04-32,[해운대인문학]종합자료실
121,관계인구의 사회학,다나카 데루미 지음 ; 김기홍 옮김,한스하우스,2024,331.3-25,[해운대인문학]종합자료실
122,"나, 블루칼라 여자",박정연 지음 ; 황지현 사진,한겨레출판,2024,321.542-13,[해운대인문학]종합자료실
123,청소년 마약에 관한 모든 질문,"김희준,공주영 지음",주니어태학,2024,334.72-7,[해운대인문학]종합자료실
124,이혼을 결심했다면,정성옥 지음,피서산장,2023,332.28-9,[해운대인문학]종합자료실
125,객관성의 함정,무라카미 야스히코 지음 ; 김준 옮김,문학수첩,2025,331.1-88,[해운대인문학]종합자료실
126,그여자가방에들어가신다,김진희 외 지음,후마니타스,2023,334.21-27,[해운대인문학]종합자료실
127,몸들의 유니버스 너머,동아대학교 젠더·어펙트연구소 지음,산지니,2023,337.5-18,[해운대인문학]종합자료실
128,야망은 큰데 게으른 사람을 위한 책,노아영 지음,북스고,2025,325.2112-55,[해운대인문학]종합자료실
129,"마흔, 더 늦기 전에 생각의 틀을 리셋하라",박근필 지음,알토북스,2025,199.1-829,[해운대인문학]종합자료실
130,변혁적 중도의 때가 왔다,백낙청 지음,창비,2025,340.911-194,[해운대인문학]종합자료실
131,성공하는 말하기 전략,야마카와 다쓰오 지음 ; 정나래 옮김,해피북미디어,2025,802.56-146,[해운대인문학]종합자료실
132,정치는 말로 설득되지 않는다,서러 스테인 루브라노 지음 ; 이혜경 옮김,북플라자,2025,340.4-146,[해운대인문학]종합자료실
133,주식투자 핵심 수업,이정윤 지음,이레미디어,2025,327.856-534,[해운대인문학]종합자료실
134,오늘 할 일을 내일로 미루는 너에게,고정욱 지음,풀빛,2025,199.5-89,[해운대인문학]종합자료실
135,AI는 민주주의 도구일까?,박재형 지음,지성사,2025,340.22-58,[해운대인문학]종합자료실
136,위험한 마약,정희선 지음,나녹,2025,334.72-8,[해운대인문학]종합자료실
137,"장애, 이해하고 있다는 오해",에밀리 라다우 지음 ; 이영주 옮김,교육을바꾸는사람들,2025,338.3-39,[해운대인문학]종합자료실
138,일상을 지켜주는 교실,오후야 지음,좋은습관연구소,2025,370.4-195,[해운대인문학]종합자료실
139,퀴어 디플로머시,더글러스 재노프 지음 ; 서정현 옮김,한티재,2025,334.226-19,[해운대인문학]종합자료실
140,김대중 망명일기,김대중 지음,한길사,2025,340.99-132,[해운대인문학]종합자료실
141,기후 극장,황승미 지음,에디토리얼,2025,539.9-169,[해운대인문학]종합자료실
142,더 이상 침묵하지 않을 거야!,"유미호,이인미 지음",빈빈책방,2025,539.9-170,[해운대인문학]종합자료실
143,가해자는 모두 피해자라 말한다,릴리 출리아라키 지음 ; 성원 옮김,은행나무,2025,334.2-29,[해운대인문학]종합자료실
144,빨대 사회 : 사기 범죄 천국의 도래,모성준 지음,박영사,2025,334.24-26,[해운대인문학]종합자료실
145,노키즈존 한국 사회,장하나 외 지음,교육공동체벗,2025,338.5-13,[해운대인문학]종합자료실
146,집단 본능 : 우리 안에 프로그래밍된 협력과 분열의 비밀,마이클 모리스 지음 ; 전미영 옮김,부키,2025,331.1-89,[해운대인문학]종합자료실
147,지진의 과학,홍태경 지음,김영사,2025,451.32-4,[해운대인문학]종합자료실
148,과학 선생님이 읽어 주는 기후변화 보고서,김추령 지음,서해문집,2025,539.9-171,[해운대인문학]종합자료실
149,"친구야, 나와 함께 창의력 대회 도전하자",정호근 지음,한언,2025,379.2-6,[해운대인문학]종합자료실
150,절대 죽지 않는 과학책,이성규 지음,블랙피쉬,2025,409-85,[해운대인문학]종합자료실
151,왠지 익숙한 나를 닮은 동물 사전,요안나 바그니에프스카 지음 ; 제니퍼 스미스 그림 ; 김은영 옮김,윌북,2024,491.508-66,[해운대인문학]종합자료실
152,수학 정서가 강한 이아기 잘 큽니다,황선아 지음,미다스북스,2025,410.7-67,[해운대인문학]종합자료실
153,댕댕이와 함께 과학,김성환 지음,지노,2025,404-336,[해운대인문학]종합자료실
154,경계를 넘나든 통섭의 과학기술자들,송성수 지음,자유아카데미,2025,409-86,[해운대인문학]종합자료실
155,"먹고, 싸고, 죽고",조 로먼 지음 ; 장상미 옮김,슬로비,2025,472.5-47,[해운대인문학]종합자료실
156,케이브 오브 본즈,"리 버거,존 호크스 지음 ; 김정아 옮김",알레,2025,471.2-35,[해운대인문학]종합자료실
157,세상의 방향을 바꾼 과학자들,올리버 로지 지음 ; 권혁 옮김,돋을새김,2025,409.9-25,[해운대인문학]종합자료실
158,수학으로 들어가 과학으로 나오기,리용러 지음 ; 정우석 옮김,하이픈,2025,400-35-개정판,[해운대인문학]종합자료실
159,괴담의 과학 : 유령은 왜 나타나는가,나카무라 마레아키 지음 ; 김두찬 옮김,전파과학사,2025,187.41-5,[해운대인문학]종합자료실
160,수학 자존감 수업,샬리니 샤르마 지음 ; 심선희 옮김,앵글북스,2025,410.7-68,[해운대인문학]종합자료실
161,파도관찰자를 위한 가이드,개빈 프레터피니 지음 ; 홍한결 옮김,김영사,2025,420.13-58,[해운대인문학]종합자료실
162,일상의 모든 순간이 화학으로 빛난다면,데보라 가르시아 베요 지음 ; 강민지 옮김,미래의창,2025,430-68,[해운대인문학]종합자료실
163,알-케미아 : 현자의 돌에서 주기율표까지 연금술과 화학의 진짜 역사,최정모 지음,바다출판사,2025,430-69,[해운대인문학]종합자료실
164,여자들은 왜 화장실에 자주 갈까?,비르기트 불라 지음 ; 강명순 옮김,열린책들,2025,517.36-18,[해운대인문학]종합자료실
165,첫 번째 기후과학 수업,집현네트워크 지음,위즈덤하우스,2024,453.9-35,[해운대인문학]종합자료실
166,장정구의 하천이야기,장정구 지음,다인아트,2024,454.93-2,[해운대인문학]종합자료실
167,빅 픽스 : 기후 위기에 대처하는 경제학적 생존 전략 7가지,"저스틴 길리스 ,핼 하비 지음 ; 이한음 옮김",알레,2024,539.9-173,[해운대인문학]종합자료실
168,그럼에도 지구에서 살아가려면,장성익 지음,풀빛,2024,539.9-174,[해운대인문학]종합자료실
169,그림으로 배우는 배터리,나카무라 노부코 지음 ; 김성훈 옮김,영진닷컴,2025,563.9-1,[해운대인문학]종합자료실
170,턱관절 쇼크,문형주 지음,클라우드나인,2025,515.18-11,[해운대인문학]종합자료실
171,0~2세 수면 습관의 힘,김주하 지음,심야책방,2025,598.122-18,[해운대인문학]종합자료실
172,김대석 셰프의 집밥 레시피. 3,김대석 지음,경향비피,2025,594.5-321-3,[해운대인문학]종합자료실
173,부모의 말투는 아이의 감정이 된다,우치다 겐지 지음 ; 오현숙 옮김,퍼스트페이지,2025,598.1-741,[해운대인문학]종합자료실
174,하루 한 장 임신 출산 데일리북,김문영 외 지음,이덴슬리벨,2025,598.10212-43,[해운대인문학]종합자료실
175,식탁의 장면들,이민경 지음,한스미디어,2025,594.504-36=2,[해운대인문학]종합자료실
176,키 10cm 더 크는 슈퍼루틴,다나베 유우 지음 ; 박현아 옮김,유아이북스,2025,598.1-742,[해운대인문학]종합자료실
177,(사계절 한입) 화과자,서지현 지음,비타북스,2025,594.5546-40,[해운대인문학]종합자료실
178,바디 사이언스 : 유방,필리파 케이 지음 ; 안솔비 옮김,시그마북스,2025,511.1-26-[1],[해운대인문학]종합자료실
179,귀엽고 사랑스러운 가방과 파우치 33,주부 재봉씨 지음 ; 남궁가윤 번역,즐거운상상,2025,592.38-6-개정판,[해운대인문학]종합자료실
180,깜짝 놀랄 수술실의 세계,기타하라 히로토 지음 ; 이효진 옮김,시그마북스,2025,510.4-68,[해운대인문학]종합자료실
181,바디 사이언스 : 소화기관,오스틴 창 지음 ; 이솔 옮김,시그마북스,2025,511.1-26-[2],[해운대인문학]종합자료실
182,도시를 지킨 힘 : 구덕운동장 시민운동 아카이브,김성일 엮음,효민디앤피,2025,339-2,[해운대인문학]종합자료실
183,나無 : 나무가 들려주는 삶의 이야기,전이섭 지음,무량수,2025,818-3611,[해운대인문학]종합자료실
184,학교 공간 디자인 산책,김지호 지음,슬로디미디어,2025,372.1-5,[해운대인문학]종합자료실
185,먹는 욕망 : 당신은 본능을 이길 수 있는가,"최형진,김대수 지음",빛의서가,2025,513.8526-9,[해운대인문학]종합자료실
186,홈메이드 사워도우,이하윤 지음,레시피팩토리,2025,594.71-193,[해운대인문학]종합자료실
187,백년의 부모 수업,이해명 지음,청림라이프,2025,598.1-743,[해운대인문학]종합자료실
188,신중년 재취업 완전정복,전은지 외 지음,브레인레오,2025,325.33-40=2,[해운대인문학]종합자료실
189,도시마을의 진화,한광야 지음,성균관대학교출판부,2025,331.47-77,[해운대인문학]종합자료실
190,개의 뇌과학,그레고리 번스 지음 ; 이주현 옮김,동글디자인,2025,527.41-48,[해운대인문학]종합자료실
191,고양이는 어디에 살고 있을까,아틀리에 호코 지음 ; 심예진 옮김,프레스탁,2025,539.7-43,[해운대인문학]종합자료실
192,쓰레기의 반격!,제레미 카베 외 지음 ; 송민주 옮김,유아이북스,2025,539.9-162=2,[해운대인문학]종합자료실
193,오늘도 지구 생각,녹색연합 지음,책밥,2025,539.9-55-개정판,[해운대인문학]종합자료실
194,파워 메탈 : 미래를 결정할 치열한 금속 전쟁,빈스 베이저 지음 ; 배상규 옮김,까치,2025,530.491-2,[해운대인문학]종합자료실
195,"도널드 노먼, 인류를 위한 디자인",도널드 노먼 지음 ; 김보미 옮김,유엑스리뷰,2025,658-65,[해운대인문학]종합자료실
196,사람을 만나는 도시,송민철 지음,효형출판,2024,539.7-44,[해운대인문학]종합자료실
197,"클래식의 심장, 유럽을 걷다",이인현 지음,북오션,2025,670.15-58,[해운대인문학]종합자료실
198,MMCA 서울 상설전 : 한국현대미술 하이라이트,국립현대미술관 지음,국립현대미술관,2025,606.3-14,[해운대인문학]종합자료실
199,무용가 김백봉 이야기,안나경 지음,디프넷,2025,685.099-4,[해운대인문학]종합자료실
200,동양화가 처음인 당신에게,이장훈 지음,미술문화,2025,653.1-2,[해운대인문학]종합자료실
201,테니스를 읽는 시간,김기범 지음,소우주,2025,695.5-6,[해운대인문학]종합자료실
202,비개념원리 : 전대한 대중음악비평집,전대한 지음 ; 박지호 디자인,쪽프레스,2025,670.9-34,[해운대인문학]종합자료실
203,기적의 피아니스트 교육법,카와카미 마사히로 지음 ; 김소영 옮김,현익출판,2025,670.4-120,[해운대인문학]종합자료실
204,똑똑한데 가끔 뭘 몰라,정원 지음,미디어창비,2023,아동 818-20,[해운대인문학]어린이자료실
205,스몰 프레임,조성환 지음,미메시스,2025,813.7-4058,[해운대인문학]종합자료실
206,하던 일을 멈추고 바닷속으로,조니 선 지음 ; 홍한결 옮김,비채,2025,848-456,[해운대인문학]종합자료실
